,Path,z
164,./spec_forgelato/v1/specgelato_SPEC318.fits,0.68151
165,./spec_forgelato/v1/specgelato_SPEC319.fits,0.43446
166,./spec_forgelato/v1/specgelato_SPEC321.fits,0.29288
167,./spec_forgelato/v1/specgelato_SPEC322.fits,0.2935
168,./spec_forgelato/v1/specgelato_SPEC323.fits,0.47625
169,./spec_forgelato/v1/specgelato_SPEC324.fits,0.67462
170,./spec_forgelato/v1/specgelato_SPEC325.fits,0.27305
171,./spec_forgelato/v1/specgelato_SPEC326.fits,0.23782
172,./spec_forgelato/v1/specgelato_SPEC327.fits,0.72289
173,./spec_forgelato/v1/specgelato_SPEC328.fits,0.2897
174,./spec_forgelato/v1/specgelato_SPEC329.fits,0.43
175,./spec_forgelato/v1/specgelato_SPEC331.fits,0.40777
176,./spec_forgelato/v1/specgelato_SPEC332.fits,0.56238
177,./spec_forgelato/v1/specgelato_SPEC333.fits,0.27287
178,./spec_forgelato/v1/specgelato_SPEC334.fits,0.51703
179,./spec_forgelato/v1/specgelato_SPEC335.fits,0.58321
180,./spec_forgelato/v1/specgelato_SPEC336.fits,0.53926
181,./spec_forgelato/v1/specgelato_SPEC337.fits,0.58288
182,./spec_forgelato/v1/specgelato_SPEC338.fits,0.58162
183,./spec_forgelato/v1/specgelato_SPEC339.fits,0.58367
184,./spec_forgelato/v1/specgelato_SPEC340.fits,0.36274
185,./spec_forgelato/v1/specgelato_SPEC341.fits,0.58636
186,./spec_forgelato/v1/specgelato_SPEC343.fits,0.58715
187,./spec_forgelato/v1/specgelato_SPEC344.fits,0.51819
188,./spec_forgelato/v1/specgelato_SPEC345.fits,0.56301
189,./spec_forgelato/v1/specgelato_SPEC346.fits,3.86968
190,./spec_forgelato/v1/specgelato_SPEC348.fits,0.79
191,./spec_forgelato/v1/specgelato_SPEC349.fits,0.48309
192,./spec_forgelato/v1/specgelato_SPEC350.fits,0.41731
193,./spec_forgelato/v1/specgelato_SPEC351.fits,0.58218
194,./spec_forgelato/v1/specgelato_SPEC352.fits,0.8084
195,./spec_forgelato/v1/specgelato_SPEC353.fits,0.78863
196,./spec_forgelato/v1/specgelato_SPEC354.fits,1.09584
197,./spec_forgelato/v1/specgelato_SPEC355.fits,0.694
198,./spec_forgelato/v1/specgelato_SPEC357.fits,0.7352
199,./spec_forgelato/v1/specgelato_SPEC358.fits,0.58469
200,./spec_forgelato/v1/specgelato_SPEC359.fits,0.44446
201,./spec_forgelato/v1/specgelato_SPEC360.fits,0.48472
202,./spec_forgelato/v1/specgelato_SPEC361.fits,0.63443
203,./spec_forgelato/v1/specgelato_SPEC362.fits,0.63359
204,./spec_forgelato/v1/specgelato_SPEC363.fits,0.20285
205,./spec_forgelato/v1/specgelato_SPEC364.fits,0.64323
206,./spec_forgelato/v1/specgelato_SPEC365.fits,0.29039
207,./spec_forgelato/v1/specgelato_SPEC366.fits,0.26579
208,./spec_forgelato/v1/specgelato_SPEC367.fits,0.47194
209,./spec_forgelato/v1/specgelato_SPEC368.fits,0.41896
210,./spec_forgelato/v1/specgelato_SPEC369.fits,0.65654
211,./spec_forgelato/v1/specgelato_SPEC370.fits,0.2252
212,./spec_forgelato/v1/specgelato_SPEC371.fits,0.76382
213,./spec_forgelato/v1/specgelato_SPEC372.fits,0.52288
214,./spec_forgelato/v1/specgelato_SPEC373.fits,0.29439
215,./spec_forgelato/v1/specgelato_SPEC374.fits,0.36442
216,./spec_forgelato/v1/specgelato_SPEC375.fits,0.32377
217,./spec_forgelato/v1/specgelato_SPEC376.fits,0.32407
218,./spec_forgelato/v1/specgelato_SPEC377.fits,0.24777
219,./spec_forgelato/v1/specgelato_SPEC378.fits,0.32478
220,./spec_forgelato/v1/specgelato_SPEC379.fits,0.32463
221,./spec_forgelato/v1/specgelato_SPEC380.fits,0.32245
222,./spec_forgelato/v1/specgelato_SPEC381.fits,0.29481
223,./spec_forgelato/v1/specgelato_SPEC382.fits,0.35439
224,./spec_forgelato/v1/specgelato_SPEC383.fits,0.48497
225,./spec_forgelato/v1/specgelato_SPEC384.fits,0.16191
226,./spec_forgelato/v1/specgelato_SPEC385.fits,0.22225
227,./spec_forgelato/v1/specgelato_SPEC386.fits,0.63155
228,./spec_forgelato/v1/specgelato_SPEC387.fits,0.58446
229,./spec_forgelato/v1/specgelato_SPEC388.fits,0.41494
230,./spec_forgelato/v1/specgelato_SPEC389.fits,0.49121
231,./spec_forgelato/v1/specgelato_SPEC390.fits,0.58392
232,./spec_forgelato/v1/specgelato_SPEC391.fits,0.44763
233,./spec_forgelato/v1/specgelato_SPEC392.fits,0.29331
234,./spec_forgelato/v1/specgelato_SPEC393.fits,0.73527
235,./spec_forgelato/v1/specgelato_SPEC394.fits,0.80898
236,./spec_forgelato/v1/specgelato_SPEC395.fits,0.80238
237,./spec_forgelato/v1/specgelato_SPEC396.fits,0.80188
238,./spec_forgelato/v1/specgelato_SPEC397.fits,0.47682
239,./spec_forgelato/v1/specgelato_SPEC398.fits,0.2937
240,./spec_forgelato/v1/specgelato_SPEC399.fits,0.33646
241,./spec_forgelato/v1/specgelato_SPEC400.fits,0.33705
242,./spec_forgelato/v1/specgelato_SPEC401.fits,0.43365
243,./spec_forgelato/v1/specgelato_SPEC402.fits,0.47781
244,./spec_forgelato/v1/specgelato_SPEC403.fits,0.29633
245,./spec_forgelato/v1/specgelato_SPEC404.fits,0.28988
246,./spec_forgelato/v1/specgelato_SPEC405.fits,0.60207
247,./spec_forgelato/v1/specgelato_SPEC406.fits,0.25175
248,./spec_forgelato/v1/specgelato_SPEC407.fits,0.64297
249,./spec_forgelato/v1/specgelato_SPEC408.fits,0.55693
250,./spec_forgelato/v1/specgelato_SPEC409.fits,0.1837
251,./spec_forgelato/v1/specgelato_SPEC410.fits,0.64258
252,./spec_forgelato/v1/specgelato_SPEC411.fits,0.50546
253,./spec_forgelato/v1/specgelato_SPEC412.fits,0.4195
254,./spec_forgelato/v1/specgelato_SPEC413.fits,0.41938
255,./spec_forgelato/v1/specgelato_SPEC414.fits,0.90673
256,./spec_forgelato/v1/specgelato_SPEC415.fits,0.07902
257,./spec_forgelato/v1/specgelato_SPEC416.fits,0.72724
258,./spec_forgelato/v1/specgelato_SPEC417.fits,0.36298
259,./spec_forgelato/v1/specgelato_SPEC418.fits,0.2941
260,./spec_forgelato/v1/specgelato_SPEC419.fits,0.42399
261,./spec_forgelato/v1/specgelato_SPEC420.fits,0.63538
262,./spec_forgelato/v1/specgelato_SPEC421.fits,0.04223
263,./spec_forgelato/v1/specgelato_SPEC422.fits,0.47701
264,./spec_forgelato/v1/specgelato_SPEC423.fits,0.69374
265,./spec_forgelato/v1/specgelato_SPEC424.fits,0.8368
266,./spec_forgelato/v1/specgelato_SPEC425.fits,0.24784
267,./spec_forgelato/v1/specgelato_SPEC426.fits,0.32417
268,./spec_forgelato/v1/specgelato_SPEC427.fits,0.58286
269,./spec_forgelato/v1/specgelato_SPEC428.fits,0.82771
270,./spec_forgelato/v1/specgelato_SPEC429.fits,0.9506
271,./spec_forgelato/v1/specgelato_SPEC430.fits,0.951
272,./spec_forgelato/v1/specgelato_SPEC431.fits,0.90702
273,./spec_forgelato/v1/specgelato_SPEC432.fits,0.44699
274,./spec_forgelato/v1/specgelato_SPEC434.fits,0.33557
275,./spec_forgelato/v1/specgelato_SPEC435.fits,0.33622
276,./spec_forgelato/v1/specgelato_SPEC436.fits,0.44832
277,./spec_forgelato/v1/specgelato_SPEC437.fits,0.27231
278,./spec_forgelato/v1/specgelato_SPEC438.fits,0.49194
279,./spec_forgelato/v1/specgelato_SPEC439.fits,0.29599
280,./spec_forgelato/v1/specgelato_SPEC440.fits,0.68784
281,./spec_forgelato/v1/specgelato_SPEC441.fits,0.29001
282,./spec_forgelato/v1/specgelato_SPEC442.fits,0.81354
283,./spec_forgelato/v1/specgelato_SPEC443.fits,0.44856
284,./spec_forgelato/v1/specgelato_SPEC444.fits,0.46992
285,./spec_forgelato/v1/specgelato_SPEC445.fits,0.6897
286,./spec_forgelato/v1/specgelato_SPEC446.fits,0.29278
287,./spec_forgelato/v1/specgelato_SPEC447.fits,0.29278
288,./spec_forgelato/v1/specgelato_SPEC448.fits,0.437
289,./spec_forgelato/v1/specgelato_SPEC449.fits,0.67435
290,./spec_forgelato/v1/specgelato_SPEC450.fits,0.67412
291,./spec_forgelato/v1/specgelato_SPEC451.fits,1.00316
292,./spec_forgelato/v1/specgelato_SPEC452.fits,0.45041
293,./spec_forgelato/v1/specgelato_SPEC453.fits,0.20403
294,./spec_forgelato/v1/specgelato_SPEC454.fits,0.43879
295,./spec_forgelato/v1/specgelato_SPEC455.fits,0.11549
296,./spec_forgelato/v1/specgelato_SPEC456.fits,0.43894
297,./spec_forgelato/v1/specgelato_SPEC457.fits,0.45191
298,./spec_forgelato/v1/specgelato_SPEC458.fits,0.53435
299,./spec_forgelato/v1/specgelato_SPEC459.fits,0.44916
300,./spec_forgelato/v1/specgelato_SPEC460.fits,0.68834
301,./spec_forgelato/v1/specgelato_SPEC461.fits,0.13826
302,./spec_forgelato/v1/specgelato_SPEC462.fits,0.92208
303,./spec_forgelato/v1/specgelato_SPEC463.fits,0.48424
304,./spec_forgelato/v1/specgelato_SPEC464.fits,0.53971
305,./spec_forgelato/v1/specgelato_SPEC465.fits,0.11764
306,./spec_forgelato/v1/specgelato_SPEC466.fits,0.4506
307,./spec_forgelato/v1/specgelato_SPEC467.fits,0.35129
308,./spec_forgelato/v1/specgelato_SPEC468.fits,0.4512
309,./spec_forgelato/v1/specgelato_SPEC469.fits,0.45265
310,./spec_forgelato/v1/specgelato_SPEC470.fits,0.43437
311,./spec_forgelato/v1/specgelato_SPEC471.fits,0.50403
312,./spec_forgelato/v1/specgelato_SPEC472.fits,0.50412
313,./spec_forgelato/v1/specgelato_SPEC474.fits,0.28947
314,./spec_forgelato/v1/specgelato_SPEC475.fits,0.50467
315,./spec_forgelato/v1/specgelato_SPEC476.fits,0.21748
316,./spec_forgelato/v1/specgelato_SPEC477.fits,0.11575
317,./spec_forgelato/v1/specgelato_SPEC478.fits,0.35125
318,./spec_forgelato/v1/specgelato_SPEC479.fits,0.60496
319,./spec_forgelato/v1/specgelato_SPEC480.fits,0.44658
320,./spec_forgelato/v1/specgelato_SPEC481.fits,0.76563
321,./spec_forgelato/v1/specgelato_SPEC482.fits,0.45241
322,./spec_forgelato/v1/specgelato_SPEC483.fits,0.33
323,./spec_forgelato/v1/specgelato_SPEC488.fits,0.11678
324,./spec_forgelato/v1/specgelato_SPEC490.fits,0.2903
325,./spec_forgelato/v1/specgelato_SPEC492.fits,0.29203
326,./spec_forgelato/v1/specgelato_SPEC493.fits,0.29362
327,./spec_forgelato/v1/specgelato_SPEC494.fits,0.29436
328,./spec_forgelato/v1/specgelato_SPEC496.fits,0.29068
329,./spec_forgelato/v1/specgelato_SPEC497.fits,0.29458
330,./spec_forgelato/v1/specgelato_SPEC499.fits,0.41901
331,./spec_forgelato/v1/specgelato_SPEC500.fits,0.29382
332,./spec_forgelato/v1/specgelato_SPEC501.fits,0.29272
