      id  redshift  galex.FUV          galex.FUV_err  galex.NUV          galex.NUV_err   sdss.up             sdss.up_err   sdss.gp             sdss.gp_err   sdss.rp             sdss.rp_err   sdss.ip            sdss.ip_err  vista.vircam.Z     vista.vircam.Z_err  vista.vircam.Y     vista.vircam.Y_err  vista.vircam.J     vista.vircam.J_err  vista.vircam.H     vista.vircam.H_err  vista.vircam.Ks    vista.vircam.Ks_err 
 SPEC274     0.183   0.045564    0.00861885357573732   0.075669   0.009924719623747564  0.001589   0.0005475629735473355  0.002778   0.0003042184083845026  0.004627  0.00047902744180265916  0.005419  0.0007305857992049941        0.005148  0.0008236917141746662        0.006747   0.001327278829033297        0.005883  0.0010727096018960584        0.007328  0.0020308204844348013         0.001925  0.0021177670433737516 
 SPEC279     0.719   0.035667    0.00734248410893752   0.039361    0.00605568222498506  0.000926   0.0005281806130482261  0.001911  0.00023748728387010536   0.00417  0.00044349746335238494  0.007826  0.0010269799219069476        0.009393  0.0011871648958758846        0.013889   0.001913347644836139        0.018282  0.0021213418489248737        0.016757  0.0028384241208811627          0.02549  0.0035452358172623722 
 SPEC313     0.559   0.024597   0.006225518861107081   0.012646  0.0032307804258414094  0.000942  0.00047738625870462586  0.001482  0.00019582451327655588  0.003474  0.00037127854772394276  0.005848  0.0007681113460950827        0.007427  0.0009810628369273805        0.009266   0.001564834994496225        0.010348  0.0014487950303614379        0.009659  0.0022697750571367198          0.01431   0.002792519471731576 
 SPEC329      0.43   0.005638   0.002694641987351938   0.011241     0.0038660317911264  0.000536  0.00046211898900607834  0.000438  0.00012305868518719027  0.001323  0.00017727743793274992  0.001678  0.0004877712988686399        0.002688  0.0005276072781908907        0.003641   0.000960671541162743        0.005292  0.0008775264326503219        0.006798  0.0018076927393780172         0.007213   0.001861432160998622 
 SPEC344     0.518   0.008491   0.003544213849360673   0.004115  0.0018357160047240424  0.001313   0.0005159851645154151  0.001163  0.00017517616847048575  0.002117  0.00025162052777943217  0.002197   0.000564506944155694         0.00249  0.0005108003523882887        0.002037  0.0008857413222832048        0.004612  0.0009381867831087795        0.001276  0.0019092686453194584         0.003164  0.0017547606560440088 
 SPEC388     0.415   0.028667   0.006923378719238173   0.027643   0.004834305585086652  0.005108   0.0006887384409193377  0.009978   0.0010064933382789975  0.018139   0.0018193719273419606  0.022208  0.0022806388666336457        0.026126  0.0026536585613073887        0.029307  0.0030654858489316174        0.033946   0.003499644290495821        0.043284   0.004773595663648106         0.049544  0.0052937986701422635 
 SPEC399     0.336   0.007029  0.0033349165521793793   0.006718  0.0022458326384661885  0.006026   0.0007830241120169927  0.007645    0.000774813687282304  0.012105   0.0012174605743103142  0.012553  0.0013493713684527326        0.017442  0.0018551705150740188        0.013746  0.0018419015065958332        0.016016   0.001887623786669367        0.013327   0.002430043886434975         0.024728  0.0033921120028678298 
 SPEC434     0.336   0.007029  0.0033349165521793793   0.006718  0.0022458326384661885  0.001905   0.0005071392806714936  0.001915   0.0002308966218895374  0.003921  0.00041501615631201643  0.003333  0.0006109278926354566        0.005352  0.0008389010907133212        0.002872  0.0012991431175971336        0.006412  0.0012251830230622688        0.002944   0.002150249139053426         0.008092   0.002565936406070891 
 SPEC466     0.451   0.014764   0.005190407783594657    0.01148  0.0038549064839500323  0.005205   0.0006656915577052183  0.007576   0.0007688424806161534  0.018736    0.001878675320538384  0.022693  0.0023197162520446333        0.026828  0.0027259319213802833        0.030561   0.003323459524351094        0.038929   0.004055544280364844        0.042415   0.004726261445370961         0.049154   0.005464332178775372 
 SPEC475     0.505   0.022429   0.005426240080387155   0.028265   0.004741555783706441   0.00293    0.000492610393719012  0.004733   0.0004885221489349281  0.010834   0.0010905872546476967  0.015853  0.0016587103695341148        0.019217    0.00199968494768551        0.024206   0.002644528192324673        0.027171  0.0029111264847134347        0.033565  0.0038803223126436287         0.037134  0.0042868990610929955 
 SPEC476     0.217   0.022429   0.005426240080387155   0.028265   0.004741555783706441  0.037474   0.0037697621622590463  0.043276    0.004329235817092897  0.059313    0.005932513774952402   0.10228   0.010238977488011194        0.092978   0.009313525961739733        0.101095   0.010162648977997814        0.118119    0.01185525835273108        0.131442   0.013279243752563626         0.175879   0.017709411831283387 
 SPEC477     0.116   0.012655   0.004038405037883149   0.019123    0.00404198123325678  0.006457   0.0007675633459200616  0.019532     0.00195835498314274  0.036305    0.003633764748852077  0.048984  0.0049327359102226435        0.060056   0.006028590827050713         0.06847   0.006957665197463873        0.084256   0.008518553889011914         0.09564   0.009843728765056462         0.095668   0.009914598894559477 
 SPEC478     0.351   0.022429   0.005426240080387155   0.028265   0.004741555783706441  0.001914   0.0004219122657614969  0.005059   0.0005223359168198182  0.012571   0.0012648716970507325  0.017586  0.0018373072579185008        0.023564   0.002431835101317522        0.022431  0.0025271314983593553        0.033029   0.003501673515620781        0.039678   0.004524346675488075         0.051763    0.00570688099490431 
 SPEC479     0.605   0.022429   0.005426240080387155   0.028265   0.004741555783706441  0.001691   0.0004241648382409839  0.001877  0.00022606921506476728  0.004889   0.0005066677510953307  0.007999  0.0009481144498424228        0.013238  0.0014436836357041662        0.016323  0.0019750815907197353        0.020178  0.0023010329941137307        0.030573  0.0036876723403794975         0.043444   0.004903558642455498 
 SPEC483      0.33   0.012655   0.004038405037883149   0.019123    0.00404198123325678  0.001816   0.0004520780463592542  0.002391  0.00027215585608250285  0.004626  0.00048274502586769343   0.00468  0.0007040596565632774        0.006456  0.0008092857097465641        0.007006  0.0011981754295594615        0.008031  0.0013977501958504603        0.009021  0.0023057901921033496         0.006043  0.0020195315026015313 
 SPEC533      -0.0   0.045564    0.00861885357573732   0.075669   0.009924719623747564  0.000986    0.000498841618151493  0.004655   0.0004833117523917663  0.008498   0.0008604562975538039  0.011378  0.0012526630991611433        0.012408  0.0014120413025120763        0.016065  0.0020160273435645658        0.014447  0.0017434833208264428        0.014278   0.002511367922069564         0.011008  0.0025336307228955054 
 SPEC558     0.505   0.022429   0.005426240080387155   0.028265   0.004741555783706441  0.002829  0.00046814678253727214  0.003213   0.0003469793797907882  0.006445   0.0006599577638000784  0.007743  0.0009457216768161762        0.009682  0.0011427424206705552        0.012295  0.0017034410027940506        0.012147   0.001692093404632262        0.010291   0.002426983891582307         0.011834   0.002706435212599777 
 SPEC563     0.105   0.017976   0.005003091720126666   0.019379    0.00454034056101522  0.022362   0.0022740183464519366   0.07817    0.007818892057062817  0.167448    0.016746030456200656  0.238642    0.02387554685530784        0.324007    0.03241055015716333        0.396709   0.039701796720173765        0.490867    0.04911283458414919        0.586209    0.05869751204957498          0.59147     0.0592419067299492 
